Author	n (strains)	publication title	journal	publication URL	strains
Christian Ranaivoson et al	4	unknown	unknown	unknown	Madagascar/VIRO-2722/2020,Madagascar/IP-01650/2020,Madagascar/VIRO-33698/2020,Madagascar/VIRO-5815/2020
Vireak Heang et al	2	unknown	unknown	unknown	Cambodia/2928/2020,Cambodia/1875/2020
Lamuk Zaveri et al A	1	A distinct phylogenetic cluster of Indian SARS-CoV-2 isolates	unknown	https://dx.doi.org/10.1101/2020.05.31.126136	India/TG-CCMB-J207/2020
Medado et al	1	unknown	unknown	unknown	Philippines/RITM-07/2020
Myat Htut Nyunt et al	1	unknown	unknown	unknown	Myanmar/MMC_137/2020
Mohd Noor Mat Isa et al	4	unknown	unknown	unknown	Malaysia/MGI-MAEPS41/2020,Malaysia/MGI-MAEPS54/2020,Malaysia/MGI-MAEPS67/2020,Malaysia/MGI-MGI54/2021
Suppiah J et al	26	unknown	unknown	unknown	Malaysia/IMR_WC80031/2020,Malaysia/IMR_WC118251/2021,Malaysia/IMR_5316/2020,Malaysia/IMR_WC113107/2021,Malaysia/IMR_WC112572/2021,Malaysia/IMR_WC112952/2021,Malaysia/IMR_0088/2021,Malaysia/IMR_WC114583/2021,Malaysia/IMR_WC100111/2021,Malaysia/IMR_WC102543/2021,Malaysia/IMR_WC112765/2021,Malaysia/IMR_WC75495/2021,Malaysia/IMR_WC93839/2021,Malaysia/IMR_WI224/2020,Malaysia/IMR_WC360297/2020,Malaysia/IMR_WC355250/2020,Malaysia/IMR-WI212/2020,Malaysia/IMR_WC105668/2021,Malaysia/IMR_WC66243/2021,Malaysia/IMR_WI021/2021,Malaysia/IMR_WC107580/2021,Malaysia/IMR_WI100/2020,Malaysia/IMR-WI147/2020,Malaysia/IMR-WI125/2020,Malaysia/IMR-WI120/2020,Malaysia/IMR-WI123/2020
Yoong Min CHONG et al	1	unknown	unknown	unknown	Malaysia/3097/2020
Sesay et al A	2	Origin of imported SARS-CoV-2 strains in The Gambia identified from Whole Genome Sequences	unknown	https://dx.doi.org/10.1101/2020.04.30.070771	Gambia/GC19-026/2020,Gambia/GC19-029/2020
Goba et al	4	unknown	unknown	unknown	SierraLeone/KGH-G-8604/2020,SierraLeone/KGH-G-8626/2020,SierraLeone/KGH-G-8548/2020,SierraLeone/KGH-G-8549/2020
Palou et al	28	unknown	unknown	unknown	PapuaNewGuinea/PNG227/2021,PapuaNewGuinea/PNG234/2021,PapuaNewGuinea/PNG245/2021,PapuaNewGuinea/PNG085/2021,PapuaNewGuinea/PNG198/2021,PapuaNewGuinea/PNG293/2021,PapuaNewGuinea/PNG473/2021,PapuaNewGuinea/PNG182/2021,PapuaNewGuinea/PNG239/2021,PapuaNewGuinea/PNG397/2021,PapuaNewGuinea/PNG156/2021,PapuaNewGuinea/PNG221/2021,PapuaNewGuinea/PNG228/2021,PapuaNewGuinea/PNG086/2021,PapuaNewGuinea/PNG090/2021,PapuaNewGuinea/PNG126/2021,PapuaNewGuinea/PNG128/2021,PapuaNewGuinea/PNG087/2021,PapuaNewGuinea/PNG091/2021,PapuaNewGuinea/PNG233/2021,PapuaNewGuinea/PNG152/2021,PapuaNewGuinea/PNG236/2021,PapuaNewGuinea/PNG244/2021,PapuaNewGuinea/PNG213/2021,PapuaNewGuinea/PNG230/2021,PapuaNewGuinea/PNG508/2021,PapuaNewGuinea/PNG240/2021,PapuaNewGuinea/PNG506/2021
Kantima Sangsiriwut et al	1	unknown	unknown	unknown	Thailand/MUMT-3/2020
Opass Putcharoen et al	1	unknown	unknown	unknown	Thailand/CU-SI206685-NST/2020
Le Quynh Mai et al	2	unknown	unknown	unknown	Vietnam/38238/2020,Vietnam/38142/2020
Authors from IBT et al	17	unknown	unknown	unknown	Mexico/ZAC-InDRE-IBT-49/2020,Mexico/AGU-InDRE-IBT-211/2020,Mexico/MOR-IBT-IMSS-472/2020,Mexico/CMX-InDRE-IBT-38/2020,Mexico/QUE-InDRE-IBT-53/2020,Mexico/BCN-IBT-IMSS-489/2020,Mexico/CHP-InDRE-IBT-159/2020,Mexico/BCS-InDRE-IBT-61/2020,Mexico/VER-IBT-IMSS-557/2021,Mexico/MEX-InDRE-IBT-116/2020,Mexico/MOR-IBT-IMSS-464/2020,Mexico/GRO-InDRE-IBT-153/2020,Mexico/AGU-InDRE-IBT-213/2020,Mexico/COA-InDRE-IBT-105/2020,Mexico/AGU-InDRE-IBT-47/2020,Mexico/PUE-IBT-IMSS-575/2021,Mexico/CHP-InDRE-IBT-194/2020
Xiaolin Jiang et al	1	unknown	unknown	unknown	Shandong/2020C1240152/2020
Tsuyoshi Sekizuka et al C	1	Whole genome and phylogenetic analysis of two SARS-CoV-2 strains isolated in Italy in January and February 2020: additional clues on multiple introductions and further circulation in Europe	unknown	https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305	Japan/TY-WK-012/2020
Pilailuk et al	1	unknown	unknown	unknown	Thailand/Bangkok_580/2020
Rodpan et al	1	unknown	unknown	unknown	Thailand/SI202205-NT/2020
Cao Minh Thắng et al	1	unknown	unknown	unknown	Vietnam/PIHCM-14/2020
Xianding Deng et al	1	Genomic surveillance reveals multiple introductions of SARS-CoV-2 into Northern California	unknown	https://dx.doi.org/10.1126/science.abb9263	USA/CA-CDPH-UC9/2020
PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	52	unknown	unknown	unknown	Australia/WA310/2020,Australia/WA128/2020,Australia/WA622/2021,Australia/WA554/2020,Australia/WA633/2021,Australia/WA496/2020,Australia/WA526/2020,Australia/WA510/2020,Australia/WA375/2020,Australia/WA503/2020,Australia/WA502/2020,Australia/WA628/2021,Australia/WA426/2020,Australia/WA626/2021,Australia/WA635/2021,Australia/WA620/2021,Australia/WA167/2020,Australia/WA309/2020,Australia/WA500/2020,Australia/WA541/2020,Australia/WA546/2020,Australia/WA378/2020,Australia/WA512/2020,Australia/WA538/2020,Australia/WA609/2021,Australia/WA591/2020,Australia/WA623/2021,Australia/WA568/2021,Australia/WA584/2021,Australia/WA636/2021,Australia/WA603/2021,Australia/WA640/2021,Australia/WA634/2021,Australia/WA624/2021,Australia/WA643/2021,Australia/WA602/2021,Australia/WA562/2020,Australia/WA177/2020,Australia/WA644/2021,Australia/WA436/2020,Australia/WA499/2020,Australia/WA610/2021,Australia/WA586/2021,Australia/WA180/2020,Australia/WA197/2020,Australia/WA112/2020,Australia/WA646/2021,Australia/WA647/2021,Australia/WA645/2021,Australia/WA564/2020,Australia/WA565/2020,Australia/WA581/2021
Prado-Vivar et al	1	unknown	unknown	unknown	Ecuador/USFQ-165/2020
Caly et al	1	unknown	unknown	unknown	Australia/VIC1358/2020
Francisco Duarte et al	42	unknown	unknown	unknown	CostaRica/INC-0049/2020,CostaRica/INC-0228/2021,CostaRica/INC-0252/2021,CostaRica/INC-0340/2021,CostaRica/INC-0278/2021,CostaRica/INC-0342/2021,CostaRica/INC-0333/2021,CostaRica/INC-0284/2021,CostaRica/INC-0297/2021,CostaRica/INC-0063/2020,CostaRica/INC-0099/2020,CostaRica/INC-0128/2020,CostaRica/INC-0321/2021,CostaRica/INC-0205/2020,CostaRica/INC-0277/2021,CostaRica/INC-0288/2021,CostaRica/INC-0334/2021,CostaRica/INC-0254/2021,CostaRica/INC-0213/2020,CostaRica/INC-0290/2021,CostaRica/INC-0052/2020,CostaRica/INC-0116/2020,CostaRica/INC-0171/2020,CostaRica/INC-0055/2020,CostaRica/INC-0286/2021,CostaRica/INC-0100/2020,CostaRica/INC-0126/2020,CostaRica/INC-0216/2020,CostaRica/INC-0197/2020,CostaRica/INC-0226/2021,CostaRica/INC-0215/2020,CostaRica/INC-0174/2020,CostaRica/INC-0235/2021,CostaRica/INC-0198/2020,CostaRica/INC-0207/2020,CostaRica/INC-0166/2020,CostaRica/INC-0199/2020,CostaRica/INC-0164/2020,CostaRica/INC-0202/2020,CostaRica/INC-0212/2021,CostaRica/INC-0260/2021,CostaRica/INC-0210/2021
To et al	1	unknown	unknown	unknown	HongKong/HKU-907b/2020
Ji-Rong Yang et al B	1	SARS-CoV-2 genomic surveillance in Taiwan revealed novel ORF8-deletion mutant and clade possibly associated with infections in Middle East	unknown	https://dx.doi.org/10.1080/22221751.2020.1782271	Taiwan/3/2020
Paola Resende et al	30	unknown	unknown	unknown	Bolivia/26958/2020,Paraguay/33626/2020,Bahamas/10930/2021,Bahamas/10929/2021,Bolivia/26933/2020,Bahamas/33833/2020,Bahamas/33829/2020,Bolivia/26953/2020,Paraguay/33627/2020,Paraguay/33623/2020,Brazil/RJ-FIOCRUZ-11538/2020,Brazil/PB-FIOCRUZ-33422/2020,Brazil/RS-FIOCRUZ-6222/2020,Brazil/SE-FIOCRUZ-1880/2021,Brazil/RJ-FIOCRUZ-16517/2020,Brazil/RJ-FIOCRUZ-4365A1/2020,Bolivia/26936/2020,Bolivia/26939/2020,Paraguay/33612-R2/2020,Bolivia/26956/2020,Bolivia/26954/2020,Brazil/PB-FIOCRUZ-29611/2020,Brazil/AM-FIOCRUZ-3521-1P/2021,Brazil/RS-FIOCRUZ-15279/2020,Paraguay/33615/2020,Paraguay/33622/2020,Paraguay/33610/2020,Guatemala/19524/2020,Brazil/SE-FIOCRUZ-6561/2020,Bolivia/26937/2020
Maria Victoria Elizondo et al	4	unknown	unknown	unknown	Uruguay/UY-NYUMC860/2020,Uruguay/UY-NYUMC844/2020,Uruguay/UY-NYUMC845/2020,Uruguay/UY-NYUMC936/2020
Danilo Franco et al	4	Early transmission dynamics, spread, and genomic characterization of SARS-CoV-2 in Panama.	unknown	https://www.medrxiv.org/content/10.1101/2020.07.31.20160929v1	Panama/328709/2020,Panama/334256/2020,Panama/337660/2020,Panama/328677/2020
Neta Zuckerman et al	21	unknown	unknown	unknown	Israel/CVL-n14268/2020,Israel/CVL-3348/2021,Israel/CVL-n18352/2020,Israel/CVL-n25872/2020,Israel/CVL-733/2020,Israel/CVL-s2057/2020,Israel/CVL-s2049/2020,Israel/CVL-479ngs/2020,Israel/CVL-n26099/2020,Israel/CVL-514ngs/2020,Israel/CVL-1208/2020,Israel/CVL-1181/2020,Israel/CVL-3163/2021,Israel/CVL-4551/2021,Israel/CVL-246ngs/2020,Israel/CVL-45514/2020,Israel/CVL-1502/2021,Israel/CVL-1919/2021,Israel/CVL-933ngs/2020,Israel/CVL-n-6751/2020,Israel/CVL-928ngs/2020
Cooley L. et al	5	unknown	unknown	unknown	Australia/TAS17/2020,Australia/TAS108/2020,Australia/TAS66/2020,Australia/TAS278/2020,Australia/TAS00279/2020
Rawlinson et al	5	unknown	unknown	unknown	Australia/NSW2026/2020,Australia/NSW2410/2020,Australia/NSW3876/2021,Australia/NSW2536/2020,Australia/NSW2754/2020
Yamilka Diaz et al	10	unknown	unknown	unknown	Panama/GMI-PA426757/2020,Panama/GMI-PA342491/2020,Panama/GMI-PA363699/2020,Panama/GMI-PA427748/2020,Panama/GMI-PA571783/2020,Panama/GMI-PA574196/2020,Panama/GMI-PA572717/2020,Panama/GMI-PA580700/2020,Panama/GMI-PA462047/2020,Panama/GMI-PA462137/2020
Abdaliyev Askar et al	10	unknown	unknown	unknown	Kazakhstan/18287/2020,Kazakhstan/38716/2020,Kazakhstan/3352/2021,Kazakhstan/6255/2021,Kazakhstan/7719/2021,Kazakhstan/3552/2020,Kazakhstan/533/2020,Kazakhstan/3374/2020,Kazakhstan/3375/2020,Kazakhstan/61136/2020
Kame A. Galán-Huerta et al	9	unknown	unknown	unknown	Mexico/NLE-UANL-001/2020,Mexico/NLE-UANL-388/2020,Mexico/TAM-UANL-010/2020,Mexico/NLE-UANL-062/2020,Mexico/NLE-UANL-026/2021,Mexico/TAM-UANL-008/2020,Mexico/NLE-UANL-036/2020,Mexico/NLE-UANL-004/2020,Mexico/NLE-UANL-033/2020
Díaz Y et al	1	unknown	unknown	unknown	Panama/GMI-PA584303/2020
C. Paul Morris et al	1	unknown	unknown	unknown	USA/MD-HP03310/2021
Ben Huang et al	2	unknown	unknown	unknown	Australia/QLD02/2020,Australia/QLD01/2020
Mounerou SALOU et al	6	unknown	unknown	unknown	Togo/BMC-49989-20/2020,Togo/BMC-1011-20/2020,Togo/BMC-50041-20/2020,Togo/BMC-1014-20/2020,Togo/BMC-27079-20/2020,Togo/BMC-19125-20/202
Abdoul-Salam Ouedraogo et al	9	unknown	unknown	unknown	BurkinaFaso/4307/2020,BurkinaFaso/3570/2020,BurkinaFaso/2-032-1197/2020,BurkinaFaso/2173/2020,BurkinaFaso/1941/2020,BurkinaFaso/0777/2020,BurkinaFaso/608/2020,BurkinaFaso/1124/2020,BurkinaFaso/3970/2020
Chantal Akoua-Koffi et al	16	unknown	unknown	unknown	Coted-Ivoire/BKE-1979-bc76/2021,Coted-Ivoire/BKE-2022-bc17/2021,Coted-Ivoire/BKE0173/2020,Coted-Ivoire/BKE1482-bc71/2021,Coted-Ivoire/BKE0430/2020,Coted-Ivoire/BKE0248/2020,Coted-Ivoire/BKE0041/2020,Coted-Ivoire/BKE0425/2020,Coted-Ivoire/BKE0011/2020,Coted-Ivoire/BKE1654-bc35/2021,Coted-Ivoire/C01-2459/2020,Coted-Ivoire/BKE0018/2020,Coted-Ivoire/BKE1639-bc12/2021,Coted-Ivoire/BKE-2023-bc29/2021,Coted-Ivoire/BKE-1880-bc28/2021,Coted-Ivoire/BKE2141-bc33/2021
Olawoye et al	8	unknown	unknown	unknown	Nigeria/CV816/2021,Nigeria/CV866/2021,Nigeria/CV731/2021,Nigeria/CV751/2021,Nigeria/CV742/2021,Nigeria/CV876/2021,Nigeria/CV873/2021,Nigeria/CV795/2021
Haruka Abe et al	2	unknown	unknown	unknown	Gabon/ITM-K011/2020,Gabon/ITM-K028/2020
Issa Abu-Dayyeh et al	22	unknown	unknown	unknown	Jordan/IR-ALSR-2578/2020,Jordan/AM-Biolab016/2021,Jordan/IR-Biolab015/2021,Jordan/SR-0335/2020,Jordan/AM-ALSR-2586/2020,Jordan/SR-048/2020,Jordan/AM-Biolab013/2021,Jordan/AM-Biolab014/2021,Jordan/MA-ALSR-2583/2020,Jordan/SR-047/2020,Jordan/AM-ALSR-5830/2020,Jordan/AM-ALSR-5829/2020,Jordan/AM-Biolab007/2021,Jordan/AM-ALSR-5775/2021,Jordan/AM-Biolab009/2021,Jordan/AM-Biolab011/2021,Jordan/AM-Biolab010/2021,Jordan/AM-ALSR-5147/2020,Jordan/SEARCH-5429/2020,Jordan/AM-ALSR-5305/2020,Jordan/SEARCH-5464/2020,Jordan/SR-034/2020
Zekri et al	7	unknown	unknown	unknown	Egypt/CUNCI-HGC9I036/2020,Egypt/CUNCI-HGC013/2020,Egypt/CUNCI-HGC12I004/2021,Egypt/CUNCI-HGC12I047/2021,Egypt/CUNCI-HGC12I031/2021,Egypt/CUNCI-HGC12I023/2021,Egypt/CUNCI-HGC10I014/2020
Saied Jaradat et al	1	unknown	unknown	unknown	Jordan/PHBC4/2021
Sunil Raghav et al	2	unknown	unknown	unknown	India/OR-ILSCV17741/2020,India/OR-RMRC23/2020
Oluniyi P.E. et al B	39	unknown	unknown	unknown	Nigeria/BO-CV330/2020,Nigeria/ED04-CV158/2020,Cameroon/CV441/2020,Nigeria/BO-CV338/2020,Cameroon/CV416/2020,Nigeria/OS-CV301/2020,Nigeria/OS-CV300/2020,Nigeria/OS-CV302/2020,Nigeria/CV898/2021,Nigeria/FC-CV562/2020,Nigeria/CV889/2021,Nigeria/CV899/2021,Nigeria/AK-CV308/2020,Nigeria/AK-CV268/2020,Cameroon/CV430/2020,Nigeria/LA-CV389/2020,Cameroon/CV417/2020,Cameroon/CV408/2020,Cameroon/CV432/2020,Cameroon/CV428/2020,Cameroon/CV420/2020,Nigeria/OS-CV303/2020,Nigeria/FC-CV529/2020,Nigeria/FC-CV528/2020,Nigeria/FC-CV539/2020,Nigeria/FC-CV553/2020,Nigeria/OS-CV304/2020,Nigeria/CV638/2020,Nigeria/CV894/2021,Nigeria/CV905/2021,Nigeria/OS-CV306/2020,Nigeria/CV629/2020,Nigeria/CV631/2020,Nigeria/CV643/2020,Nigeria/FC-CV533/2020,Nigeria/FC-CV536/2020,Nigeria/OS-CV307/2020,Nigeria/FC-CV357/2020,Nigeria/ED1010-CV215/2020
Sameh Trabelsi et al	2	unknown	unknown	unknown	Tunisia/5516/2021,Tunisia/Q8734/2021
Ngoi et al	3	unknown	unknown	unknown	Ghana/84162_S45/2020,Ghana/84218_S47/2020,Ghana/WACCBIP-GS06/2020
Hesham Elghazaly et al	3	unknown	unknown	unknown	Egypt/MASRI-009/2020,Egypt/MASRI-008/2020,Egypt/MASRI-C5-019/2020
Antonio Grimaldi et al	6	unknown	unknown	unknown	Italy/CAM-TIGEM-1602/2020,Italy/CAM-TIGEM-1843/2020,Italy/CAM-TIGEM-104/2020,Italy/CAM-TIGEM-1396/2020,Italy/CAM-TIGEM-1265/2020,Italy/CAM-TIGEM-1031/2020
Danielle E Anderson et al	1	Discovery of a 382-nt deletion during the early evolution of SARS-CoV-2	unknown	https://dx.doi.org/doi/10.1101/2020.03.11.987222	Singapore/4/2020
Kouriba et al	1	unknown	unknown	unknown	Mali/M002618/2020
Rachel Boyle et al	13	unknown	unknown	unknown	NewZealand/20VR3131/2020,NewZealand/21MV0113/2021,NewZealand/21MV0187/2021,NewZealand/21MV0147/2021,NewZealand/21MV0112/2021,NewZealand/21MV0096/2021,NewZealand/21MV0114/2021,NewZealand/21MV0137/2021,NewZealand/21MV0131/2021,NewZealand/21MV0182/2021,NewZealand/21MV0181/2021,NewZealand/21MV0153/2021,NewZealand/21MV0156/2021
Yadouleton et al	3	Diagnostics and spread of SARS-CoV-2 in Western Africa: An observational laboratory-based study from Benin	unknown	https://www.medrxiv.org/content/10.1101/2020.06.29.20140749v1	Benin/843/2020,Benin/1409/2020,Benin/1408/2020
Shevtsov Alexandr et al	9	unknown	unknown	unknown	Kazakhstan/129528/2020,Kazakhstan/124503/2021,Kazakhstan/125175/2021,Kazakhstan/124954/2021,Kazakhstan/124942/2021,Kazakhstan/125804/2021,Kazakhstan/122954/2021,Kazakhstan/115967/2021,Kazakhstan/116969/2021
Mirzakamol S Ayubov et al	3	unknown	unknown	unknown	Uzbekistan/Tashkent-CGB-25/2021,Uzbekistan/Tashkent-CGB-08/2021,Uzbekistan/Tashkent-CGB-14/2021
Morais J et al	19	unknown	unknown	unknown	Angola/KRISP-K009792/2021,Angola/KRISP-K009791/2021,Angola/KRISP-K009716/2021,Angola/KRISP-K009744/2021,Angola/KRISP-K009755/2021,Angola/KRISP-K009789/2021,Angola/KRISP-K009785/2020,Angola/KRISP-K009773/2021,Angola/KRISP-K009705/2020,Angola/KRISP-K009781/2020,Angola/KRISP-K009694/2021,Angola/KRISP-K009780/2020,Angola/KRISP-K009776/2020,Angola/KRISP-K009783/2020,Angola/KRISP-K009689/2021,Angola/KRISP-K009797/2021,Angola/KRISP-K009767/2021,Angola/KRISP-K009762/2021,Angola/KRISP-K009788/2021
Mulenga Mwenda-Chimfwembe et al	23	unknown	unknown	unknown	Zambia/ZMB-1241/2020,Zambia/ZMB-223/2020,Zambia/ZMB-9163/2020,Zambia/ZMB-79195/2021,Zambia/ZMB-V65182/2020,Zambia/ZMB-69394/2020,Zambia/ZMB-69167/2020,Zambia/ZMB-V65185/2020,Zambia/ZMB-70230/2020,Zambia/ZMB-70198/2020,Zambia/ZMB-69104/2020,Zambia/ZMB-69573/2020,Zambia/ZMB-78403/2021,Zambia/ZMB-70296/2020,Zambia/ZMB-76786/2021,Zambia/ZMB-70014/2020,Zambia/ZMB-76795/2021,Zambia/ZMB-79102/2021,Zambia/ZMB-34496/2020,Zambia/ZMB-37106/2020,Zambia/ZMB-37089/2020,Zambia/ZMB-31175/2020,Zambia/ZMB-20637/2020
Matthew Cotten et al	25	unknown	unknown	unknown	Uganda/UG120/2020,Uganda/UG184/2020,Uganda/UG175/2020,Uganda/UG190/2020,Uganda/UG204/2021,Uganda/UG198/2020,Uganda/UG197/2020,Uganda/UG174/2020,Uganda/UG200/2020,Uganda/UG206/2020,Uganda/UG165/2020,Uganda/UG205/2021,Uganda/UG201/2021,Uganda/UG182/2020,Uganda/UG193/2020,Uganda/UG194/2020,Uganda/UG202/2021,Uganda/UG203/2021,Uganda/UG181/2020,Uganda/UG168/2020,Uganda/UG074/2020,Uganda/UG021/2020,Uganda/UG044/2020,Uganda/UG132/2020,Uganda/UG131/2020
Sokhoun Yann et al	14	unknown	unknown	unknown	Cambodia/139654/2020,Cambodia/137931/2020,Cambodia/126518/2020,Cambodia/126521/2020,Cambodia/126517/2020,Cambodia/126515/2020,Cambodia/180348/2020,Cambodia/180575/2020,Cambodia/110537/2020,Cambodia/VIR2107864/2021,Cambodia/VIR2107865/2021,Cambodia/VIR2118404/2021,Cambodia/250293/2021,Cambodia/250289/2021
Yvan Butera et al	25	unknown	unknown	unknown	Rwanda/NRLNAT1064/2020,Rwanda/NRLNAT3005/2020,Rwanda/NRLNAT1018/2020,Rwanda/NRLNAT1059/2020,Rwanda/NRLNAT3043/2021,Rwanda/NRLNAT3044/2021,Rwanda/NRLNAT3042/2021,Rwanda/NRLNAT1029/2020,Rwanda/NRLNAT3002/2021,Rwanda/NRLNAT1051/2021,Rwanda/NRLNAT3017/2021,Rwanda/NRLNAT3058/2021,Rwanda/NRLNAT3066/2021,Rwanda/NRLNAT3065/2021,Rwanda/NRLNAT1009/2020,Rwanda/NRLNAT2009/2020,Rwanda/NRLNAT2054/2020,Rwanda/NRLNAT2056/2020,Rwanda/NRLNAT2055/2020,Rwanda/NRLNAT1006/2020,Rwanda/NRLNAT2010/2020,Rwanda/NRLNAT2052/2020,Rwanda/NRLNAT1042/2020,Rwanda/NRLNAT3071/2021,Rwanda/NRLNAT1021/2020
Githinji G. et al	16	unknown	unknown	unknown	Kenya/C82645/2021,Kenya/C85876/2021,Kenya/C82585/2021,Kenya/C81782/2021,Kenya/C82570/2021,Kenya/C85219/2021,Kenya/C85595/2021,Kenya/C85166/2021,Kenya/C85159/2021,Kenya/C82640/2021,Kenya/C85602/2021,Kenya/C87265/2021,Kenya/C82588/2021,Kenya/C87497/2021,Kenya/C86708/2021,Kenya/C87022/2021
Janis Pjalkovskis et al	13	unknown	unknown	unknown	Latvia/394/2021,Latvia/311/2021,Latvia/256/2021,Latvia/1308/2021,Latvia/755/2021,Latvia/1264/2021,Latvia/1303/2021,Latvia/1218/2021,Latvia/477/2021,Latvia/277/2021,Latvia/1268/2021,Latvia/381/2021,Latvia/414/2021
Nguyen Van Vinh Chau et al	7	unknown	unknown	unknown	Vietnam/HCMC-05047-02/2021,Vietnam/HCMC-05046-02/2021,Vietnam/HCMC-05042-02/2021,Vietnam/HCMC-05044-02/2021,Vietnam/HCMC-05049-02/2021,Vietnam/HCMC-2712/2020,Vietnam/HCMC-05040-01/2021
Enatha Mukantwari et al	3	unknown	unknown	unknown	Rwanda/BH72124RD/2021,Rwanda/AK36376RD/2020,Rwanda/AV65997RD/2020
Justin T. Landis et al	3	unknown	unknown	unknown	USA/NC-UNC-LCCC0196/2020,USA/NC-UNC-LCCC0277/2020,USA/NC-UNC-LCCC0313/2021
Ulrike Protzer et al	1	unknown	unknown	unknown	Germany/BAV-PL-virotum_2IUOS/2020
Teemu Smura et al B	1	A doubt of multiple introduction of SARS-CoV-2 in Italy: A preliminary overview	unknown	https://dx.doi.org/10.1002/jmv.25773	Finland/FIN-25/2020
Arindam Maitra et al	21	unknown	unknown	unknown	India/WB-1930300451753/2021,India/WB-1970300048047/2021,India/WB-1931500906953/2021,India/SK-1122700009215/2021,India/SK-1122700009322/2021,India/SK-1122700009206/2021,India/WB-1930500165664/2021,India/WB-1931500896934/2021,India/WB-1931500923753/2021,India/WB-1931500938179/2021,India/WB-1931300244219/2021,India/HR-NIBG-TF69/2020,India/WB-1931500905036/2021,India/WB-1931800110613/2021,India/WB-1930300490662/2021,India/WB-19-297488/2021,India/WB-1930400299336/2021,India/WB-1931700198150/2021,India/WB-1930600198366/2021,India/MZ-ZMC4912H/2021,India/SK-1122700009268/2021
María Delia Foussal et al	3	unknown	unknown	unknown	Argentina/PAIS-E0162/2020,Argentina/PAIS-E0153/2020,Argentina/PAIS-E0164/2020
Markus Antwerpen et al	11	unknown	unknown	unknown	Afghanistan/IMB07960/2020,Afghanistan/IMB07958/2020,Afghanistan/IMB15490/2021,Afghanistan/IMB15485/2021,Afghanistan/IMB15483/2021,Afghanistan/IMB15484/2021,Afghanistan/IMB15486/2021,Afghanistan/IMB15487/2021,Afghanistan/IMB07962/2020,Afghanistan/IMB07964/2020,Afghanistan/IMB07966/2020
Anna-Malin Linde et al	8	unknown	unknown	unknown	Sweden/20-22122/2020,Sweden/21-50042/2020,Sweden/21-50088/2020,Sweden/21-50952/2020,Sweden/21-50162/2020,Sweden/21-20415/2020,Sweden/20-52827/2020,Sweden/21-50163/2020
NPHL COVID-19 Response Team et al	2	unknown	unknown	unknown	USA/NE-NCOV21-13467/2021,USA/NE-A234AMA_TESTNE/2021
Ahmed Babiker et al	2	unknown	unknown	unknown	USA/GA-EHC-473J/2020,USA/GA-EHC-417C/2020
Pawestri et al	2	unknown	unknown	unknown	Indonesia/JB-NIHRD-PME4992/2020,Indonesia/JI-NIHRD-PME5011/2020
Gage Moreno et al A	1	Distinct patterns of SARS-CoV-2 transmission in two nearby communities in Wisconsin, USA	unknown	https://www.medrxiv.org/content/10.1101/2020.07.09.20149104v1	USA/WI-UW-330/2020
Mustapha M. Mustapha et al	4	unknown	unknown	unknown	USA/PA-MGEL-00183/2020,USA/PA-MGEL-01034/2020,USA/PA-MGEL-01087/2020,USA/PA-MGEL86/2020
Natalia Andrea Ayala y María Verónica Gómez et al	2	unknown	unknown	unknown	Argentina/PAIS-E0173/2021,Argentina/PAIS-E0174/2021
Al Safar et al	12	unknown	unknown	unknown	UnitedArabEmirates/1372/2020,UnitedArabEmirates/4018/2020,UnitedArabEmirates/3270/2020,UnitedArabEmirates/4298/2020,UnitedArabEmirates/4026/2020,UnitedArabEmirates/4273/2020,UnitedArabEmirates/4347/2020,UnitedArabEmirates/2583/2020,UnitedArabEmirates/4023/2020,UnitedArabEmirates/3402/2020,UnitedArabEmirates/1871/2020,UnitedArabEmirates/4021/2020
Anna Majer et al	31	unknown	unknown	unknown	Canada/NL-NML-3103/2020,Canada/NL-NML-3120/2020,Canada/MB-NML-3083/2020,Canada/NS-NML-16217/2021,Canada/MB-NML-3042/2020,Canada/MB-NML-16800/2020,Canada/MB-NML-16773/2020,Canada/MB-NML-16771/2020,Canada/NB-NML-3278/2020,Canada/NL-NML-2416/2020,Canada/NL-NML-5796/2020,Canada/NL-NML-3099/2020,Canada/MB-NML-591/2020,Canada/NS-NML-2038/2020,Canada/NS-NML-1875/2020,Canada/MB-NML-3039/2020,Canada/MB-NML-2535/2020,Canada/MB-NML-3081/2020,Canada/MB-NML-5691/2020,Canada/MB-NML-16281/2020,Canada/MB-NML-16306/2020,Canada/MB-NML-1595/2020,Canada/NS-NML-17007/2021,Canada/NS-NML-16238/2021,Canada/NB-NML-8791/2021,Canada/NS-NML-5531/2020,Canada/NB-NML-3145/2020,Canada/NS-NML-5387/2020,Canada/NS-NML-5541/2020,Canada/NS-NML-5540/2020,Canada/NL-NML-2425/2020
Luz Helena Patiño et al	3	unknown	unknown	unknown	Colombia/GVI-150146/2020,Colombia/GVI-161641/2020,Colombia/GUR-41533/2020
Valesano et al	3	unknown	unknown	unknown	USA/MI-UM-10036824774/2020,USA/MI-UM-10036516572/2020,USA/MI-UM-10038830642/2021
Myriam Seffar et al	2	unknown	unknown	unknown	Morocco/FMP-69/2021,Morocco/FMP-66/2021
